title,category,brand,description,starsBreakdown/3star,starsBreakdown/4star,starsBreakdown/5star,reviewsCount,average_rating,price/currency,price/value,categoryPageData/productPosition
"Feltom 28 Pack Valentines Day Gift Cards for Kids with Stacking Heart Pencils, Valentines Day Gifts for Kids Boys Girls, Valentine School Classroom Party Favor Exchange Prizes Toys Set",Gift Card,Feltom,Tidak ada deskripsi,0.11,0.36,0.53,21,4.42,$,19.37,163
"QianCannaor Valentines Day Gifts for Kids Classroom-30 Pack Crystals and Gemstones Valentines Day Cards, Natural and Educational School Exchange Gifts for Boys Girls Class Party Favors",Gift Card,QianCannaor,Tidak ada deskripsi,0.0,0.19,0.7,12,4.786516853932585,$,18.99,65
JOYIN 28 Pack Valentines Day Gifts Cards for Kids with Llama Key Chain for Valentine's Classroom Exchange Cards and Valentines Party Favor,Gift Card,JOYIN,Tidak ada deskripsi,0.05,0.13,0.76,1016,4.75531914893617,$,15.99,149
Maad Romantic Novelty Toilet Paper - Funny Gag Gift for Valentine's Day or Anniversary Present,Household Supplies,Maad,"MAAD Brands Funny Novelty Toilet Paper is just the Gag Gift you were looking for!This roll of printed toilet paper will keep your loved ones laughing and laughing without giving a ‘sheet’! Change out the roll on your anniversary, suprise your loved one on Valentine’s Day or wrap as a present for your loved one simply to make them smile!MAAD Brands always provides each customer with a 100% satisfaction guarantee. There is truly nothing to lose! Get smiling with each wipe - Click “Add To Cart” Now!",0.08,0.12,0.75,2962,4.705263157894737,$,9.95,164
"GHIRARDELLI Milk Chocolate Squares with Caramel Filling for Valentine’s Day Chocolate Gifts, 15.96 Oz Bag",Chocolate,Ghirardelli,Tidak ada deskripsi,0.03,0.09,0.84,5680,4.843750000000001,$,10.19,56
"JOYIN 30 Packs Valentines Day Cards with Butter Slime, 6 Colors Valentines Slime Party Favors, Stress Relief Fidget Toys and Gift Cards for Kids Valentine's Day Classroom Exchange Gift, Prizes",Gift Card,JOYIN,Tidak ada deskripsi,0.0,0.23,0.6,9,4.72289156626506,$,18.99,153
"YTKIH 24 Packet, Bulk Valentines Day Gifts for Kids Classroom Exchange, Include Cards, Slap Bracelet, Pencil, Eraser, Cup, Airplanes, Seal, Valentine Party Favors Class School Exchange",Gift Card,YTKIH,Tidak ada deskripsi,0.08,0.21,0.72,48,4.633663366336633,$,25.99,160
"Ieftop Valentines Day Gifts for Her - Dainty Gold Necklace for Women, 14K Gold/White Gold Plated Cute Heart Necklace Handmade Disc Circle Bee Choker Necklace Gold Heart Necklaces for Women Girls",Accessories,Ieftop,Tidak ada deskripsi,0.09,0.14,0.68,61,4.648351648351649,$,9.99,194
"Giiffu 50 Pack Valentines Cards for Kids, Mason Jar Happy Valentines Day Cards, Funny Valentine Gifts for Classroom, Kids Valentines Day Cards for School Exchange Party Favors(Candy Not Included)",Gift Card,Giiffu,Tidak ada deskripsi,0.03,0.1,0.82,124,4.831578947368421,$,15.29,191
"Valentines Day Gifts For Dog Mom & Dad, Thanks For Putting Up Valentines Day Cards,Valentines Day Gifts For Him, Valentines Day Gifts For Her,Valentines Day Gifts For Wife,Husband Valentines Day Gifts",Gift Card,Ithmahco,Tidak ada deskripsi,0.0,0.0,1.0,5,5.0,$,9.99,139
"Asddage Valentines Day Gifts for Her,Valentines Rose Flowers Birthday Gifts for Women,Valentines Gifts for Wife,Valentines Day Gifts for Mom Girlfriend Grandma",Flower,Asddage,Tidak ada deskripsi,0.15,0.24,0.5,375,4.393258426966292,$,7.99,146
"Desimtion Couples Valentines Day Gifts, I Love You Morse Code Bracelet, Gifts for Boyfriend Long Distance Relationships Matching Bracelets",Accessories,Desimtion,Tidak ada deskripsi,0.06,0.11,0.76,4002,4.752688172043011,$,9.99,112
KLUBI Date Night Dice for Couples 2 Engraved Wooden Dinner Food Decision Dice Valentine's Day Couple Gift for Him Her Date Night Ideas Games Valentines for Couples Gifts for Girlfriend Valentines Dice,Other,KLUBI,Tidak ada deskripsi,0.07,0.13,0.77,241,4.721649484536083,$,15.99,119
"JOYIN 28 Pack Valentines Day Stationery Kids Gift Set for School Classmates Exchange Gift, Valentine Party Favor, Includes Pencils, Erasers, Stamper, Stickers",Household Supplies,JOYIN,Tidak ada deskripsi,0.06,0.12,0.81,903,4.757575757575759,$,26.99,87
"GIFTINBOX 28 Pack Valentines Day Gifts for Kids Classroom, 196 Pcs Valentines Day Stationery Gift Set with Valentines Cards for Kids, Valentines Day Goodie Bag Stuffers, Exchange Gifts for Boys Girls",Gift Card,GIFTINBOX,Tidak ada deskripsi,0.0,0.08,0.92,50,4.920000000000001,$,21.99,123
"Cheerin Valentines Day Card with Envelope - Romantic Valentines Day Gift for Boyfriend Girlfriend - Funny Anniversary Greeting Cards for Husband Wife - Sweetest Birthday Cards, Love Cards for Him Her",Gift Card,Cheerin,Tidak ada deskripsi,0.02,0.06,0.9,418,4.8979591836734695,$,6.99,132
"OOPERAY Valentines Day Him Gifts, Tumbler 17 oz HUBBY, Gifts for Husband, Valentines Gifts for Him Husband, Valentines Day Gifts for Him Boyfriend, Boyfriend Gifts, Husband Valentines Day Gifts",Other,OOPERAY,Tidak ada deskripsi,0.05,0.1,0.78,620,4.78494623655914,$,4.99,130
"Valentines Day Gifts for Her,Valentines Rose Birthday Gifts for Women Anniversary Rose Gift Decorations Beauty and The Beast Rose Flowers Romantic Red Silk Rose Flower in Glass Dome",Flower,Dream of Flowers,Tidak ada deskripsi,0.06,0.12,0.77,4285,4.747368421052632,$,42.99,233
[ Filled Heart Box ] 28 Pack Valentines Day Gifts for Kids 28 Different Pull Back Car Toys with 28 Valentine Cards for Kids Classroom Exchange Gifts School Prize Boys Girls Valentines Party Favors,Gift Card,AMENON,Tidak ada deskripsi,0.09,0.17,0.71,159,4.639175257731959,$,23.99,235
"NEWNOVE Valentines Day Gifts for Her - Preserved Real Purple Rose with Purple Necklace - Flower Gifts for Women Wife Girlfriend Mom and Grandma, Anniversary Birthday Gifts for Women",Flower,NEWNOVE,Tidak ada deskripsi,0.05,0.12,0.8,2379,4.77319587628866,$,43.99,244
JoFAN 24 Pack Valentines Cards with Valentines Stretchy String Toys for Kids School Class Classroom Valentines Day Gifts Prizes Party Favors,Gift Card,JoFAN,"Jofan 24 Pack Valentines Cards with Valentines Stretchy String Toys  Features: 1. The 24 Pack Valentines Cards with Valentines Stretchy String Toys are perfect for kids, boys, girls, toddlers, valentines toys, valentines gifts, valentines party favors, valentines day cards gifts, school event prizes, class exchanging gifts 2. There are 2 styles stretchy string for the pack, 12 spiky stretchy string + 12 stretchy string noodles, cost one but get two gifts, that's cool all in bright colors, have a fun and Happy Valentine's Day 3. Also there are 24 pcs exquisite Valentines Day Cards in the package that in 4 colors, each color 6 pcs - best Valentines Gifts with cards 4. There are 2 holes on the card, just use the wire (included) to connect the stretchy string and card, so it is a valentines day gift with card  Specifications: Style: Valentines Material: Rubber Package: 12 spiky stretchy string + 12 stretchy string noodles, 24 x Cards, 24 x Wires",0.06,0.11,0.78,38,4.757894736842106,$,9.99,231
Valentines Day Gifts Cards For Kids: 28 Pack Valentine Party Favors Dinosaur Unicorn Keychains-Valentines Exchange Cards for Kids Classroom-Boy Girl School Class Valentine Day Gift for Kid Game Prizes,Gift Card,BNLIK,Tidak ada deskripsi,0.0,0.0,1.0,4,5.0,$,9.99,114
"Weflye 28 Pack Valentines Day gifts Cards with Invisible Ink Pen, Valentiens Cards for Kids Party Favor, Valentines Day School Classroom Prizes, Valentine Exchange Gifts",Gift Card,Weflye,Tidak ada deskripsi,0.0,0.0,1.0,1,5.0,$,19.99,113
"URBANSEASONS Valentines Day Gifts for Her,Valentines Rose Flowers for Women,Valentines Gifts for Wife,Valentines Day Gifts for Mom Girlfriend Grandma，Beauty and The Beast Rose Flowers in Glass Dome",Flower,URBANSEASONS,Tidak ada deskripsi,0.07,0.13,0.75,2421,4.715789473684211,$,19.99,238
"Kids Valentines Day Gift Cards - 40 Pack Exchange Cards with Crazy Straws Bulk - Colorful Crazy Loop Reusable Drinking Straws for Kids School Classroom Exchange Prizes, Valentine Party Favors Toy",Gift Card,Pzzleen,Great Option for Valentine's Day: Ideal for kids valentine cards for school exchange or valentine goodie bag stuffers or valentine candy bag stuffers or valentine party favors for kids.,0.0,0.21,0.79,6,4.79,$,15.99,239
"Birthday Gifts for Women,Valentines Day Gifts for Her,Womens Gifts for Valentines,Preserved Red Rose Gifts for Mom,Real Rose Gifts with 100 Language Necklace for Wife,Her,Women,Mom,Grandma,Mothers Day",Flower,GOMALL,Tidak ada deskripsi,0.05,0.1,0.8,391,4.789473684210526,$,17.89,229
Pinkiwine 24 PCS Valentines Cards with Dinosaur Mochi Squishy Toys Squishies for Kids School Class Classroom Valentines Day Gifts Prizes Party Favors,Gift Card,Pinkiwine,Tidak ada deskripsi,0.07,0.19,0.7,258,4.65625,$,17.99,236
"Valentines Day Gifts - Valentines Gifts For Her, Him - Romantic Gifts for Wife, Girlfriend, Couples Gifts Ideas for Boyfriend, Husband - Gifts Set Valentines Card, Keychain ,Travel Mug Tumbler 20 Oz",Gift Card,365fury,Tidak ada deskripsi,0.04,0.06,0.87,305,4.855670103092784,$,16.95,243
KINGYAO Valentines Day Gifts for Kids-24 Pack Squishy Valentines Toys for Toddlers Teens Valentines Squishies Mochi Fidget Toys Classroom School Prize Party Favors for Boys Girls Ages 4-8 8-12,Household Supplies,KINGYAO,Valentines Day Gifts for Kids- 24 Pack Valentines Mochi Squishy Toys for Boys and Girls,0.08,0.15,0.7,678,4.666666666666667,$,11.99,232
"HAMIMOS Valentines Day Gifts for Kids, Flower Building Blocks with Valentines Cards for Kids Classroom School & Stickers, Class Valentines Gifts Exchange, Party Favors for Kids Boys Girls -12 PACK",Flower,HAMIMOS,Tidak ada deskripsi,0.17,0.0,0.83,23,4.659999999999999,$,14.99,209
"Keenvark Valentine Gifts for Kids, 28 Packs Valentines Day Stationery Supplies Set for Classroom Exchange Gift, Prefilled Valentine Goodie Bags, Valentine Treat Bags for Kids Party Favor",Other,Keenvark,Tidak ada deskripsi,0.05,0.08,0.78,63,4.802197802197802,$,23.85,226
"AISZG Valentines Day Gifts for Him/Her/Boyfriend,Foot Spa Bath Massager with 8 Massage Rollers,Collapsible Foot Spa with Heat,Pedicure Foot Soaking Tub,Mens Valentines Gifts",Other,AISZG,Tidak ada deskripsi,0.08,0.0,0.62,47,4.771428571428571,$,28.98,140
